spec,term,stata_std_err,native_std_err,se_abs_diff,se_ratio_stata_over_native
fod_diff_endog_x_onestep,L1.y,0.0310182024092184,0.0315655166309318,0.0005473142217134,0.9826610085900804
fod_diff_endog_x_onestep,x,0.4039213833111488,0.409024900351656,0.0051035170405072,0.9875227228559447
fod_diff_endog_x_onestep,w,0.0294854664718536,0.0200713756194884,0.0094140908523652,1.4690306748693667
fod_diff_endog_x_twostep,L1.y,0.0417824469689617,0.035586007243419,0.0061964397255427,1.1741257366457885
fod_diff_endog_x_twostep,x,0.5085459070572449,0.4344785653607996,0.0740673416964453,1.170474098382594
fod_diff_endog_x_twostep,w,0.0499534896803598,0.021195577600425,0.0287579120799348,2.3567883179252527
fod_diff_predet_x_onestep,L1.y,0.016371395556011,0.0164836522554783,0.0001122566994672,0.9931898163266585
fod_diff_predet_x_onestep,x,0.0135422548849941,0.0136049861452529,6.273126025879878e-05,0.9953890978212655
fod_diff_predet_x_onestep,w,0.0140246547344877,0.0131810853886849,0.0008435693458028,1.0639984736406418
fod_diff_predet_x_twostep,L1.y,0.0185985210729674,0.0164109290820779,0.0021875919908894,1.1333009228148168
fod_diff_predet_x_twostep,x,0.0151709979793193,0.0133337163926622,0.001837281586657,1.1377921603063488
fod_diff_predet_x_twostep,w,0.0150704107428611,0.0130437433070779,0.0020266674357832,1.1553746794973705
