id,t,y,x
1,1,2.21,1.3
1,2,3.1155,1.5
1,3,3.8535250000000003,1.7000000000000002
1,4,4.499438750000001,1.9000000000000001
1,5,5.094691312500001,2.1
1,6,5.6620802218750015,2.3000000000000003
1,7,6.214144122031252,2.5000000000000004
1,8,6.757779267117189,2.7
1,9,7.2967785969144545,2.9
1,10,7.83322822830295,3.1
2,1,2.88,1.4
2,2,3.604,1.5999999999999999
2,3,4.2422,1.8
2,4,4.83321,2.0
2,5,5.398265500000001,2.2
2,6,5.949046025000001,2.4000000000000004
2,7,6.491975313750002,2.6000000000000005
2,8,7.030586422562502,2.8000000000000003
2,9,7.566822532409376,3.0
2,10,8.101752392825157,3.2
3,1,3.55,1.5
3,2,4.0925,1.7
3,3,4.6308750000000005,1.9000000000000001
3,4,5.166981250000001,2.1
3,5,5.701839687500001,2.3
3,6,6.236011828125001,2.5
3,7,6.769806505468751,2.7
3,8,7.303393578007814,2.9000000000000004
3,9,7.836866467904297,3.0999999999999996
3,10,8.370276557347363,3.3
4,1,4.220000000000001,1.6
4,2,4.581,1.7999999999999998
4,3,5.019550000000001,2.0
4,4,5.500752500000001,2.2
4,5,6.005413875,2.4
4,6,6.522977631250001,2.6
4,7,7.0476376971875005,2.8000000000000003
4,8,7.576200733453126,3.0
4,9,8.106910403399219,3.1999999999999997
4,10,8.63880072186957,3.4
5,1,4.890000000000001,1.7
5,2,5.069500000000001,1.9
5,3,5.408225000000001,2.1
5,4,5.834523750000001,2.3
5,5,6.308988062500001,2.5
5,6,6.8099434343750005,2.7
5,7,7.325468888906251,2.9000000000000004
5,8,7.849007888898438,3.1
5,9,8.37695433889414,3.3
5,10,8.907324886391777,3.5
6,1,5.5600000000000005,1.8
6,2,5.558000000000001,2.0
6,3,5.796900000000001,2.2
6,4,6.1682950000000005,2.4000000000000004
6,5,6.612562250000001,2.6
6,6,7.096909237500001,2.8000000000000003
6,7,7.603300080625002,3.0000000000000004
6,8,8.121815044343752,3.2
6,9,8.646998274389063,3.4
6,10,9.175849050913985,3.6
