id,time,y,L1_y,computed_L1_y
1,1,-0.5278161623567987,,
1,2,-1.7553699582428226,-0.5278161623567987,-0.5278161623567987
1,3,-1.958670551640321,-1.7553699582428226,-1.7553699582428226
1,4,-3.0973695748219265,-1.958670551640321,-1.958670551640321
1,5,-3.907852859207425,-3.0973695748219265,-3.0973695748219265
1,6,-3.933652084553403,-3.907852859207425,-3.907852859207425
1,7,-3.242521589633077,-3.933652084553403,-3.933652084553403
1,8,-2.490085291855032,-3.242521589633077,-3.242521589633077
1,9,-3.331700464225872,-2.490085291855032,-2.490085291855032
1,10,-3.486225664421508,-3.331700464225872,-3.331700464225872
2,1,2.3479136990805003,,
2,2,2.5847231780407167,2.3479136990805003,2.3479136990805003
2,3,1.2788769612407147,2.5847231780407167,2.5847231780407167
2,4,2.123013632516044,1.2788769612407147,1.2788769612407147
2,5,2.333748095300009,2.123013632516044,2.123013632516044
2,6,2.195293843774797,2.333748095300009,2.333748095300009
2,7,2.2413728766682373,2.195293843774797,2.195293843774797
2,8,2.029135006063367,2.2413728766682373,2.2413728766682373
2,9,1.179544473035936,2.029135006063367,2.029135006063367
2,10,1.9817610803909016,1.179544473035936,1.179544473035936
3,1,0.1624529035164985,,
3,2,0.061339348456846,0.1624529035164985,0.1624529035164985
3,3,0.607004040800874,0.061339348456846,0.061339348456846
3,4,-0.426133842910701,0.607004040800874,0.607004040800874
3,5,-0.5677617167330861,-0.426133842910701,-0.426133842910701
3,6,-0.6407465506415753,-0.5677617167330861,-0.5677617167330861
3,7,-0.5910921528904388,-0.6407465506415753,-0.6407465506415753
3,8,-1.6833667114048132,-0.5910921528904388,-0.5910921528904388
3,9,-0.698381952859977,-1.6833667114048132,-1.6833667114048132
3,10,-0.6139535260255775,-0.698381952859977,-0.698381952859977
4,1,-0.4436695913426165,,
4,2,-1.8135785652892795,-0.4436695913426165,-0.4436695913426165
4,3,-1.187917617869004,-1.8135785652892795,-1.8135785652892795
4,4,-2.2453837316811343,-1.187917617869004,-1.187917617869004
4,5,-0.9508111893045552,-2.2453837316811343,-2.2453837316811343
4,6,-1.4806515289424254,-0.9508111893045552,-0.9508111893045552
4,7,-1.6670580786694156,-1.4806515289424254,-1.4806515289424254
4,8,-2.7367321696187994,-1.6670580786694156,-1.6670580786694156
4,9,-2.080437730145619,-2.7367321696187994,-2.7367321696187994
4,10,-3.422294069815325,-2.080437730145619,-2.080437730145619
5,1,-0.3207233033597183,,
5,2,-0.1463674573859651,-0.3207233033597183,-0.3207233033597183
5,3,-1.0921806538318315,-0.1463674573859651,-0.1463674573859651
5,4,-0.5873490325193323,-1.0921806538318315,-1.0921806538318315
5,5,0.5464722876007397,-0.5873490325193323,-0.5873490325193323
5,6,0.2953022604253373,0.5464722876007397,0.5464722876007397
5,7,0.6613877678227336,0.2953022604253373,0.2953022604253373
5,8,1.751036724341796,0.6613877678227336,0.6613877678227336
5,9,1.3212054537570292,1.751036724341796,1.751036724341796
5,10,0.6625538643376535,1.3212054537570292,1.3212054537570292
6,1,-0.9818997351863074,,
6,2,-1.4673196473013528,-0.9818997351863074,-0.9818997351863074
6,3,-1.89936232942112,-1.4673196473013528,-1.4673196473013528
6,4,-1.152081146764157,-1.89936232942112,-1.89936232942112
6,5,-1.531163073685908,-1.152081146764157,-1.152081146764157
6,6,-1.070027751280124,-1.531163073685908,-1.531163073685908
6,7,-1.8038213875236215,-1.070027751280124,-1.070027751280124
6,8,-0.6295993880387486,-1.8038213875236215,-1.8038213875236215
6,9,-0.9674199205929062,-0.6295993880387486,-0.6295993880387486
